DT,COMP_PRD_NO,COMP_STOCK_NO,BASE_QTY,INCM_QTY,END_QTY,ORD_CNT,ORD_QTY,MIN_ACTUAL_PAY,MED_ACTUAL_PAY,EVNT_11ST_2016,EVNT_MW_HOT_ISSUE,EVNT_MW_SHCK_DEAL,EVNT_MW_LOWER_BANS,EVNT_NOW_BANS,EVNT_OTHERS
2016-11-17,1624714294,6252686295,0,1024,1018,14,32,15840,17853,N,N,N,N,N,N
2016-11-18,1624714294,6252686295,1018,640,254,785,1592,12465,14685,N,N,Y,N,N,N
2016-11-21,1624714294,6252686295,56,0,38,7,14,15840,17185,N,N,N,N,N,N
2016-11-26,1624714294,6252686295,1249,0,1209,13,26,16545,17950,N,N,N,N,N,N
2016-11-24,1624714294,6252686295,27,1280,1307,8,16,16670,18685,N,N,N,N,N,N
2016-11-25,1624714294,6252686295,1307,0,1249,32,66,14390,17128,N,N,N,N,N,N
2016-11-29,1624714294,6252686295,2350,0,2240,54,110,16450,17950,N,N,N,N,N,N
2016-11-27,1624714294,6252686295,1209,0,1209,32,64,16545,18410,N,N,N,N,N,N
2016-11-28,1624714294,6252686295,1209,1279,2350,49,102,16545,18870,N,N,N,N,N,N
2016-11-30,1624714294,6252686295,2240,0,2134,51,102,17055,18480,N,N,N,N,N,N
2016-12-01,1624714294,6252686295,2134,1024,2906,185,378,14020,16465,N,N,N,N,N,N
2016-12-04,1624714294,6252686295,2458,0,2458,98,208,14450,17315,N,N,N,N,N,N
2016-12-02,1624714294,6252686295,2906,0,2580,105,226,15960,17315,N,N,N,N,N,N
2016-12-03,1624714294,6252686295,2580,0,2458,64,132,15345,17315,N,N,N,N,N,N
2016-12-05,1624714294,6252686295,2458,1280,3328,103,216,14450,17315,N,N,N,N,N,N
2016-12-06,1624714294,6252686295,3328,0,2676,434,884,14245,16445,N,N,N,Y,N,Y
2016-12-07,1624714294,6252686295,2676,0,2122,191,392,9250,16445,N,N,N,N,N,N
2016-12-10,1624714294,6252686295,1426,0,1268,106,216,14460,16800,N,N,N,N,N,N
2016-12-08,1624714294,6252686295,2122,0,1734,175,358,9725,16445,N,N,N,N,N,N
2016-12-09,1624714294,6252686295,1734,0,1426,122,256,14450,16554,N,N,N,N,N,N
2016-12-11,1624714294,6252686295,1268,0,1268,260,578,12480,15208,N,N,N,N,N,N
2016-12-12,1624714294,6252686295,1268,640,1033,190,396,15475,16930,N,N,N,N,N,N
2016-12-15,1624714294,6252686295,449,0,273,79,168,15625,17930,N,N,N,N,N,N
2016-12-13,1624714294,6252686295,1033,0,651,118,254,14020,18480,N,N,N,N,N,N
2016-12-14,1624714294,6252686295,651,0,449,71,146,16445,18870,N,N,N,N,N,N
2016-12-16,1624714294,6252686295,273,0,152,58,120,15960,18030,N,N,N,N,N,N
2016-12-17,1624714294,6252686295,152,0,76,35,74,16475,18495,N,N,N,N,N,N
2016-12-20,1624714294,6252686295,650,0,488,72,156,16450,18023,N,N,N,N,N,N
2016-12-18,1624714294,6252686295,76,0,76,13,26,17035,17930,N,N,N,N,N,N
2016-12-19,1624714294,6252686295,76,640,650,27,58,15625,18480,N,N,N,N,N,N
2016-12-21,1624714294,6252686295,488,0,356,53,116,16950,17930,N,N,N,N,N,N
2016-12-22,1624714294,6252686295,356,0,288,24,50,17035,18480,N,N,N,N,N,N
2016-12-23,1624714294,6252686295,288,640,894,8,16,16120,18023,N,N,N,N,N,N
2016-12-26,1624714294,6252686295,894,0,858,14,28,16475,17930,N,N,N,N,N,N
2016-12-24,1624714294,6252686295,894,0,894,6,12,17035,17845,N,N,N,N,N,N
2016-12-25,1624714294,6252686295,894,0,894,9,18,17165,19065,N,N,N,N,N,N
2016-12-27,1624714294,6252686295,858,0,826,11,26,17035,17930,N,N,N,N,N,N
2016-12-28,1624714294,6252686295,826,0,798,5,10,17575,17595,N,N,N,N,N,N
2016-12-31,1624714294,6252686295,753,0,738,15,28,16120,17560,N,N,N,N,N,N
2016-12-29,1624714294,6252686295,798,640,1426,11,22,17035,17930,N,N,N,N,N,N
2016-12-30,1624714294,6252686295,1426,0,753,18,32,16120,18480,N,N,N,N,N,N
2017-01-01,1624714294,6252686295,738,0,738,40,58,16430,16465,N,N,N,N,N,N
2017-01-02,1624714294,6252686295,738,640,1263,65,105,17035,18850,N,N,N,N,N,N
2017-01-05,1624714294,6252686295,1202,1920,2925,56,109,16545,18475,N,N,N,N,N,N
2017-01-03,1624714294,6252686295,1263,0,979,210,407,16545,17415,N,N,N,N,N,N
2017-01-04,1624714294,6252686295,979,640,1202,176,357,14245,17415,N,N,N,N,N,N
2017-01-06,1624714294,6252686295,2925,0,2790,70,162,17005,17900,N,N,N,N,N,N
